Daycare Centre Name,Address,Ward,Contact Name,Contact Phone
Second Street School Age YMCA,71 Second St   (Lake Shore Blvd W / Islington)     , Etobicoke-Lakeshore,Filomena Zita, 416-252-8544
Secord School Age YMCA,91 Barrington Ave   (Main St. / Danforth Ave.)     , Beaches-East York,Sherry Feeney, 416-421-8101
Selwyn Community Child Care Centre,1 Selwyn Ave   (St. Clair / O'Connor)     , Beaches-East York,Ruby Moayer, 416-285-9730
Seneca College Lab School,1750 Finch Ave E   (Don Mills / Finch)     , Don Valley North,Tanya Farzaneh, 416-491-5050 ext 24710
Seneca Hill Centre For Early Learning,"350 Seneca Hill Dr ,Suite 101   (Finch / Don Mills)     ", Don Valley North,Ilena Vuaran, 416-499-5112 ext 221
Shaawnong Aboriginal Head Start,935 Dundas St E   (Dundas / Broadview)     , Toronto-Danforth,Veronika Bencze, 416-969-8510 ext 3059
Shaughnessy Boulevard Children's Centre,30 Shaughnessy Blvd   (Don Mills / Sheppard)     , Don Valley North,Sam Holt, 416-499-6500
Sheppard Business Park Child Care Centre,"1220 Sheppard Ave E ,112   (Sheppard / Leslie)     ", Don Valley North,Lucy Di Benedetto, 416-499-1499
Sheppard Square Day Nursery,5600 Sheppard Ave E   (Markham / Sheppard)     , Scarborough North,Tracey Van Pedro, 416-292-3607
Shirley Street Jr YMCA,38 Shirley St   (Dundas / McLarens)     , Davenport,Lindsay Barnett, 416-849-3642
Silver Creek Centre For Early Learning & Development,65 Hartsdale Dr   (Eglinton Ave. W. / Isslington)     , Etobicoke Centre,Irena Setnik, 416-249-9770
Silver Springs Extended Day & School Age Program,222 Silver Springs Blvd   (Finch Ave E / Kennedy Rd)     , Scarborough-Agincourt,Ashley Phirtieraj, 416-291-0023
Silverstone Learning Centre,520 Silverstone Dr   (Finch W. / Martin Grove Rd.)     , Etobicoke North,Cynthia Rampaul, 416-741-0414
Silverthorn Day Care,2700 Eglinton Ave W   (Keele / Eglinton W.)     , York South-Weston,Carla Vieira--Villamonte, 416-653-9702
Simcoe Sunshine Child Care (166 Sylvan Avenue),166 Sylvan Ave   (Markham / Kingston)     , Scarborough-Guildwood,Kim Rogers, 416-264-4958
Simplysmart Childcare Centre & Montessori,2271 Bloor St W     , Parkdale-High Park,Harleen Laroia, 416-988-4510
Sir Samuel B Steele Jr YMCA,131 Huntsmill Blvd   (McNicoll /  Warden)     , Scarborough-Agincourt,Maryam Sabri, 647-438-6702
Sisters Of Our Lady Of Mount Carmel,2700 Jane St   (Jane / Sheppard)     , Humber River-Black Creek,Sr. Metilda Panakkal, 416-749-5545
Small World Big Dreams Child Care Centre Inc.,"1085 Midland Ave ,1051     ", Scarborough Centre,Sarah Lacanlale, 647-808-2514
Smart Start Montessori School (1416786 Ontario Limited),2660 Kennedy Rd     , Scarborough-Agincourt,Ibrahim Meru, 416-644-1130
Snowdrop Montessori School Inc,1428 Royal York Rd   (Royal York Rd/Eglinton Ave W)     , Etobicoke Centre,Janet Hume, 416-235-0500
Sonechko Day Care,301 Lanor Ave   (Kipling Ave. / Evans Ave.)     , Etobicoke-Lakeshore,Anna Gavris, 416-255-7555
Sprucecourt Child Care Centre,70 Spruce St   (Parliament/Gerrard)     , Toronto Centre,Andrea Prifti, 416-922-8827
St. Alban's Boys And Girls Club Preschool,843 Palmerston Ave   (Dupont / Bathurst)     , University-Rosedale,Karen Grant, 416-534-8461
St. Alphonsus,540 St Clair Ave W   (Vaughan / St. Clair)     , Toronto-St. Paul's,Vicky Mule, 416-476-6220
St.Ambrose YMCA,20 Coules Crt   (Brown's Line / Evans)     , Etobicoke-Lakeshore,Irene Grobelny, 647-281-4410
St. Andrew Child Care Centre,2533 Kipling Ave   (Finch / Kipling)     , Etobicoke North,Iolanda Fanelli, 416-742-2228
"St. Bartholomew's Children's Centre, Regent Park Inc.",509 Dundas St E   (Parliament / Dundas)     , Toronto Centre,Marlone Dawkins, 416-368-6375
St. Bede Child Care Centre,521 Sewells Rd   (Morningside / Sewells)     , Scarborough-Rouge Park,Ev Wilson, 416-724-7132
St. Bernadette's Family Resource Centre,20 Bansley Ave   (Oakwood / Eglinton)     , Toronto-St. Paul's,Connie Naccarato, 416-397-6300
St. Boniface Jr YMCA,20 Markanna Dr   (Kingston Rd. / Markham)     , Scarborough Southwest,Melissa Aniff, 416-261-9092
St. Brendan Kindergarten Before & After School Program,186 Centennial Rd   (Lawrence Ave. E./Centennial Rd)     , Scarborough-Rouge Park,Roxanna Ro, 416-347-3618
St. Clement's Early Learning School,70 St Clements Ave   (Yonge / Eglinton)     , Eglinton-Lawrence,Marsha Hamilton, 416-489-0822
St. Columba Catholic School,10 John Tabor Trail   (Neilson Rd/Sewells Rd)     , Scarborough-Rouge Park,Amanda Sellers, 437-216-1831
St. Crispins Day Care Centre,530 Midland Ave   (St Clair Ave E. & Midland)     , Scarborough Southwest,Tanya Peters, 416-267-1618
St. Cyril's Before & After School Programme,18 Kempford Blvd   (Yonge / Finch)     , Willowdale,Josee Chan, 416-222-0151
St. Dorothy Child Care Centre,155 John Garland Blvd   (Martingrove / Finch)     , Etobicoke North,Montserrat Bassas, 416-745-9892
St. Edward YMCA,1 Botham Rd   (Yonge / Sheppard)     , Willowdale,Navi Grewal, 416-221-5000
St. Fidelis Early Learning Centre,9 Bannerman St   (Keele St/Lawrence Ave W.)     , York South-Weston,Delia Resendes, 416-245-2446
St. Francis De Sales Jr Y,333 Firgrove Cres   (Jane / Finch)     , Humber River-Black Creek,Debbie Silvester, 647-438-6372
St. Gabriel's Jr YMCA,396 Spring Garden Ave   (Bayview / Sheppard)     , Willowdale,Navi Grewal, 416-221-5000
St. George's School Age Child Care Programme,70 Princess Anne Cres   (Eglinton Ave W Trl/Islington A)     , Etobicoke Centre,Jennifer Nguyen, 416-576-3731
St. George Mini School - Bond,141 Bond Ave   (Don Mills / York Mills)     , Don Valley East,Jenna I Wright, 647-478-6043
St. George Mini School Inc,25 Mallard Rd     , Don Valley East,Skylar Zhou, 647-812-7795
St. George Mini School - Mallard,33 Mallard Rd   (Don Mills Rd/York Mills Rd)     , Don Valley East,Sarah Ashfield, 647-478-6114
St. Gregory's Before & After School Club,126 Rathburn Rd   (Rathburn / Kipling)     , Etobicoke Centre,Pam Taskinen, 416-236-8794
St. Jerome Jr YMCA,111 Sharpecroft Blvd   (Keele / Sheppard)     , York Centre,Ayesha Dunstan, 647-438-6375
St. Joseph Jr YMCA,176 Leslie St   (Dundas / Leslie)     , Toronto-Danforth,Monica Buslon, 647-439-9905
St. Jude Early Learning Centre,3251 Weston Rd   (Weston Rd / Sheppard)     , Humber River-Black Creek,Michelle Trigiani, 416-760-2550
St. Lawrence Co-Operative Day Care (2 Princess Street),2 Princess St   (Sherbourne / The Esplanade)     , Spadina-Fort York,Anna Marie Sison, 416-363-9506
St. Lawrence Co-Operative Day Care School Age (230 The Esplanade),230 The Esplanade   (Esplanade / Parliament)     , Toronto Centre,Fil Lacaria, 416-363-9425
St. Lawrence Infant Toddler Centre (4 Market Street),4 Market St   (Esplanade / Jarvis)     , Spadina-Fort York,Grace Kingston, 416-363-5989
St. Leo YMCA,3672 Lake Shore Blvd W     , Etobicoke-Lakeshore,Irene Grobelny, 647-281-4410
St. Marcellus Early Learning Centre,15 Denfield St   (Eglinton / Kipling)     , Etobicoke Centre,Uzlifat Hamid, 416-248-1803
St. Mark's Day Care Centre - Greenland Road,1 Greenland Rd   (Don Mills / Lawrence)     , Don Valley East,Iren Telemi, 416-444-6948
St. Michael And All Angels Day Care Centre,611 St Clair Ave W   (St. Clair / Bathurst)     , Toronto-St. Paul's,Novea Lawson, 416-653-1424
St. Monica's Satellite (Central Eglinton),14 Broadway Ave     , Don Valley West,Deirdre Munroe, 416-440-0383
St. Nicholas Child Care Centre - Network,1020 McNicoll Ave   (Victoria Park & Steeles Ave E)     , Scarborough-Agincourt,Fei Huang, 416-530-0722 ext 4095
St. Paschal Baylon,15 St Paschal Crt   (Yonge / Steeles)     , Willowdale,Hamideh Habibi, 416-733-2280
St. Philip's Community Preschool,375 Melrose Ave     , Eglinton-Lawrence,Rebecca Badger, 416-782-8026
St. Robert School Age YMCA,70 Bainbridge Ave   (Bathurst / Sheppard Ave W)     , York Centre,Rockey Persaud, 437-225-8035
St. Roch Child Care Centre,"174 Duncanwoods Dr ,Childcare In The Back   (Islington / Steeles)     ", Humber River-Black Creek,Grace Addai, 416-744-7785
St. Rose Of Lima YMCA Child Care,3220 Lawrence Ave E   (McCowan / Lawrence)     , Scarborough-Guildwood,Mavis Campbell, 647-439-0016
St. Stephen,55 Golfdown Dr     , Etobicoke North,Sandra Partipilo, 416-519-5760
St. Sylvester Child Care Centre,260 Silver Springs Blvd   (Finch Ave E/Kennedy)     , Scarborough-Agincourt,Ashley Phirtieraj, 416-291-0023
St. Timothy YMCA Child Care,25 Rochelle Cres   (Sheppard/Don Mills)     , Don Valley North,Garcia Sitcheron, 416-229-6324
St. Ursula Licensed Before And After School Program,215 Livingston Rd     , Scarborough-Guildwood,Keisha Smith, 416-287-0007
St. Vincent Sunshine,116 Fermanagh Ave   (Roncesvalle / N. Of Queen St W)     , Parkdale-High Park,Rebecca Alhairi, 416-532-0428
St. Wilfred YMCA,1685 Finch Ave W   (Finch W./Jane)     , Humber River-Black Creek,Rockey Persaud, 437-225-8035
Start Right Child Care Centre,38 Orfus Rd   (Dufferin / Lawrence)     , Eglinton-Lawrence,Lona Gayle, 416-781-7066
Stepping Stones Day Nursery,342 Runnymede Rd   (Runnymede / Bloor)     , Parkdale-High Park,Mechelle O'Brien - Nedd, 416-769-9719
Stilecroft Superkids,50 Stilecroft Dr   (Keele / Sheppard)     , York Centre,Cynthia Bass, 416-638-0352
"Studio 1,2,3 Early Learning Centre","401 Richmond St W ,Box 123   (Richmond / Spadina)     ", Spadina-Fort York,Kathryn Firth, 416-343-0093
St Victor Catholic School Before & After Child Care Program,20 Bernadine St   (Ellesmere Rd / Brimley Rd)     , Scarborough Centre,Anushi Jay, 647-289-7259
Sunburst Children's Centre,4905 Dufferin St   (Dufferin / Steeles)     , York Centre,Cathy Orr, 416-739-4684
Sunflower House,162 Dunn Ave   (Dunn / King)     , Parkdale-High Park,Diane Cordeiro, 416-530-0884
Sunflower Montessori Day Care,582 Oakwood Ave   (Oakwood / Eglinton)     , Toronto-St. Paul's,Alexandra Tsamis, 416-656-6300
Sunnybrook Creche,2075 Bayview Ave   (Bayview / Lawrence)     , Don Valley West,Antonietta Monaco, 416-480-4465
Sunny Faces Day Care Centre - Rivercrest,30 Harefield Dr   (Kipling / Elmhurst)     , Etobicoke North,Helen Primi, 416-744-0778
Sunny Faces Day Care Centre - St. Benedict Site,2202 Kipling Ave   (Kipling / Rexdale Blvd.)     , Etobicoke North,Helen Primi, 416-744-0778
Sunnylea Child Care Centre,35 Glenroy Ave   (Royal York / Bloor)     , Etobicoke-Lakeshore,Kathryn Jackson, 416-223-6509
Sunnylea Co-Operative Nursery School,86 Montgomery Rd     , Etobicoke Centre,Rose Angeli, 416-716-1258
Sunnyside Day Care - Roncesvalles,10 High Park Blvd   (Dundas St. W. / Bloor St.)     , Parkdale-High Park,Nadine Hamer, 416-538-9654
Sunnyside Garden  Day Care,225 Garden Ave   (Queen W. / Roncesvalles)     , Parkdale-High Park,Barbara Gillespie, 416-533-2008
Sunnyside - Keele,236 Keele St   (Bloor/Keele)     , Parkdale-High Park,Meghan Degrace, 416-766-0312
Sunshine Child Care Centre (Mackie Sunshine C C. Inc)60 Heathfield,60 Heathfield Dr   (Eglinton Ave. / Kingston Rd.)     , Scarborough-Guildwood,Michele Dasilva, 416-269-6309
Sunshine Kids,"1 Westside Dr ,8     ", Etobicoke-Lakeshore,Milica Nedovic, 416-622-7529
Super Kids Day Care Centre,1149 Weston Rd   (Weston / Eglinton W.)     , York South-Weston,Isabel Zapata, 416-767-3960
Swansea Kids Place,207 Windermere Ave   (Windermere / Queensway)     , Parkdale-High Park,Dawn Rhymer, 416-763-1908
Taddle Creek Montessori School,39 Spadina Rd     , University-Rosedale,Anne Smith, 416-413-9493
Tamarack Day Care Centre (765566 Ontario Inc),3315 Midland Ave   (Midland / Finch)     , Scarborough North,Rowena Leung, 416-293-3152
Taylor Creek Early Learning & Child Care Centre,644 Warden Ave   (Warden / St. Clair E.)     , Scarborough Southwest,Sharleen Jordan, 416-392-5042
Teach Me To Fly Preschool,2560 Gerrard St E     , Scarborough Southwest,Eloise Morrison, 647-295-2176
Teddy Bear Academy,167 High Park Ave   (High Park Ave. / Annette)     , Parkdale-High Park,Aleena Persaud, 647-351-1566
Teddy Bear Educare Advance,86 Advance Rd   (Advance Rd. / Islington)     , Etobicoke-Lakeshore,Sabina Sawula, 416-236-3308
Temple Sinai Nursery School,210 Wilson Ave   (Avenue Rd. / Wilson)     , Eglinton-Lawrence,Shoshi Lugassy, 416-560-7253
Terraview-Willowfield Extended Day Program,95 Pachino Blvd   (Victoria Park Ave/Hwy 401)     , Scarborough Centre,Mary Gatti, 416-429-6194
Terry Tan Child Care (Rossburn)Facility #4450,15 Rossburn Dr   (Bloor / The West Mall)     , Etobicoke Centre,Michelle Fraser, 416-621-9722 ext 201
Terry Tan Child Centre (Bloordale),4258 Bloor St W   (Bloor St. W. / West Mall)     , Etobicoke Centre,Christine Mackey, 416-621-4822
Tfs Canada's International School (Mildenhall Branch),101 Mildenhall Rd   (Lawrence Ave East & Bayview Av)     , Don Valley West,Mirna Hafez, 416-484-6533 ext 4280
The Alderbuds Child Care Centre Of Etobicoke,399 The West Mall   (The West Mall / Burnhamthorpe)     , Etobicoke Centre,Rita Ariganello-Verteouris, 416-394-8284
The Beez Kneez  Lytton Park,1252 Avenue Rd   (Avenue Rd. / Lawrence)     , Eglinton-Lawrence,Alyson Chapman, 416-483-0705
The Beez Kneez Millwood,423 Millwood Rd   (Mt. Pleasant / Davisville Ave.)     , Don Valley West,Alyson Chapman, 416-483-0705
The Castle Kinder Garden Inc,4480 Eglinton Ave W     , Etobicoke Centre,Marcos Marvian, 416-459-6363
The Clover School,3180 Bathurst St     , Eglinton-Lawrence,Tracy Durisin, 416-781-4449 ext 9220
The Clover School - High Park,411 Clendenan Ave     , Parkdale-High Park,Amy Gataveckas, 416-781-4449 ext 9420
The Creative Preschool Of East Toronto,16 Phin Ave   (Danforth Ave. / Donlands)     , Toronto-Danforth,Jennifer Davison, 416-465-3865
The Divine Infant Child Care Centre,30 Ingleton Blvd   (McCowan / McNicoll)     , Scarborough North,Vinita Kar, 416-299-1405
The Giles School,80 Scarsdale Rd   (York Mills Rd/Leslie Rd)     , Don Valley East,Caroline Bernaba, 416-446-0825
The Helene Comay Nursery School,"601 Christie St ,25   (Christie St. / St. Clair Ave.)     ", Toronto-St. Paul's,Soraya Yacoubi, 647-406-4369
The Junior Academy,2454 Bayview Ave     , Don Valley West,Candace Mohammed, 416-425-4567
The Laurel School,44 Upjohn Rd     , Don Valley East,Alyssa Seichter, 416-510-2500
The Learning Enrichment Foundation - St Maurice,45 Kingsview Blvd     , Etobicoke North,Maryam Ahmadi, 416-551-5155
The Little Campus,48 Rosemeade Ave     , Etobicoke-Lakeshore,Chinara Johnson, 647-372-5437 ext 504
The Mildenhall School,35 Ourland Ave     , Etobicoke-Lakeshore,Nicola Gillis, 416-259-2822
The Munchkin Manor Daycare & Early Learning Centre,1087 Lillian St   (Yonge St / Steeles Ave E)     , Willowdale,Natalie Orellana, 416-860-5660
The Neighbourhood Group Bellevue Child Care,91 Bellevue Ave     , University-Rosedale,Domenica Brogno, 416-925-2103 ext 1242
The Neighbourhood Group Canoe Landing Before And After Program,"20 Brunel Crt ,Southwest     ", Spadina-Fort York,Jane Deng, 416-832-7753
The Neighbourhood Group Canoe Landing Child Care,26 Brunel Crt     , Spadina-Fort York,Jane Deng, 416-832-7753
The Neighbourhood Group Community Services Our Lady Of Lourdes,444 Sherbourne St     , Toronto Centre,Roshnie Sukraj, 416-854-9889
The Neighbourhood Group Harbourfront Child Care,"650 Queens Quay W ,101   (Bathurst / Queen Quay)     ", Spadina-Fort York,Maryam Saqib, 647-206-4774
The Neighbourhood Group King Edward Child Care,112 Lippincott St     , University-Rosedale,Nikki St. John, 416-737-9578 ext 110
The Neighbourhood Group Lord Lansdowne Child Care,33 Robert St     , University-Rosedale,Matthew Taylor, 647-876-4335
The Neighbourhood Group Waterfront Child Care Centre,635 Queens Quay W     , Spadina-Fort York,Fatima Pinheiro, 416-925-2103 ext 1756
The Neighbourhood Group Yonge And Sheppard Child Care Centre,"30 Sheppard Ave E ,313 North East (2nd Floor)     ", Willowdale,Erica Regala, 416-839-6341
The Orchard Montessori School,375 Dovercourt Rd   (Dovercourt & College)     , Davenport,Holly Venable, 416-534-7979
The Rec Room Before & After School Program,255 Royal York Rd   (Royal York / Lake Shore Blvd W)     , Etobicoke-Lakeshore,Won Lee, 416-253-8553
The Scott Mission Child Care Centre,1550 O Connor Dr     , Beaches-East York,Caroline Augustine, 416-923-4680 ext 510
The South Drive Children's Circle,22 South Dr   (Mt. Pleasant / Crescent Rd.)     , University-Rosedale,Anna Murray, 416-963-9242
The Squirrels' Nest Child Care Centre,1305 Ellesmere Rd   (Ellesmere / Brimley)     , Scarborough Centre,Caroline Charlemagne-Luefong, 416-438-6383
The Toronto Cheder,475 Patricia Ave     , Willowdale,Shira Melody Gilboord, 416-636-2987 ext 254
The Toronto Heschel School,819 Sheppard Ave W     , York Centre,Andrea Zecharia, 416-635-1876 ext 332
The Village Shul And Learning Centre Of Toronto,1072 Eglinton Ave W   (Allan Expy. / Eglinton W.)     , Eglinton-Lawrence,Chevy Fordsham, 416-785-1107
The Yonge Street Mission / Davis Centre,270 Gerrard St E   (Gerrard/Parliament)     , Toronto Centre,Debbie Ciccone, 416-355-3574
Thomas Berry Early Learning & Child Care Centre,3495 Lake Shore Blvd W   (Lake Shore Blvd W/Thirtieth St)     , Etobicoke-Lakeshore,Marie-Josee Storey, 416-392-5080
Thorncliffe Park Day Care Centre,48 Thorncliffe Park Dr   (Overlea / Thorncliffe Park Dr.)     , Don Valley West,Donna Robertson, 416-423-0880
Thorncliffe Park School Age Day Care Centre,80 Thorncliffe Park Dr   (Overlea Blvd. / Leaside Bridge)     , Don Valley West,Donna Robertson, 416-423-0880
Three R's Early Learning Centre,225 Wellesworth Dr   (Renforth Dr. / Rathburn Rd.)     , Etobicoke Centre,Lauren Coxon, 416-621-7890
Three R's Schoolhouse Inc.,1577 Royal York Rd   (Royal York Rd. / Lawrence W.)     , Etobicoke Centre,Lucy Giglio-Herrmann, 416-840-7675
Three Valleys Children's Centre,76 Three Valleys Dr   (York Mills / Don Mills)     , Don Valley East,Gerardo Pachas, 416-443-9414
Tiago Avenue Community Child Care,145 Tiago Ave   (Victoria Park / St. Clair)     , Beaches-East York,Deborah Warner, 416-285-5644
Tic Toc Day Care Centre Inc,1117 Birchmount Rd   (Birchmount / Eglinton)     , Scarborough Centre,Cam Sook Chun, 416-755-1789
Tiki's Day Care Centre,20 Tangreen Crt   (Yonge / Steeles)     , Willowdale,Nadejda Schwartz, 416-840-0042
Time For Play Nursery School,"125 Evelyn Cres ,315     ", Parkdale-High Park,Audrey Borg, 416-769-1550
Timothy Eaton Infant & Toddler Centre,35 Glendower Circt     , Scarborough-Agincourt,Nancy Wickson, 416-490-0434
Tiny Bumblebees Child Care Inc.,"47 Acacia Rd ,47   (Mount Pleasant Rd/ Millwood Rd)     ", Toronto-St. Paul's,Elisa Oyuela, 416-623-8016
Tiny Explorers Academy,"404 Roncesvalles Ave ,402     ", Parkdale-High Park,Anna Mazzarelli, 416-539-8469
Tiny Explorers Academy,115 Merton St   (Yonge/Davisville)     , Toronto-St. Paul's,Nancy Aiden, 416-489-7788
Tiny Hoppers Park Lawn,20 Park Lawn Rd     , Etobicoke-Lakeshore,Meghan Henwood, 437-788-8855
Tiny Treasure Montessori,627 Burnhamthorpe Rd   (Burnhamthorpe / Renforth)     , Etobicoke Centre,Ashley Zambrano, 416-622-6443
Tlc - Tender Loving Care (Cross St.),44 Cross St   (Weston / Lawrence W.)     , York South-Weston,Jannette Best, 416-248-5401
Today's Child Tomorrow's Future Children's Centre,725 Danforth Rd   (Danforth / St.Clair)     , Scarborough Southwest,Charmae Belleza, 416-266-9888
Today's Child Tomorrow's Future Children's Centre (290 Blantyre),290 Blantyre Ave   (Kingston Rd. / Victoria Pk.)     , Scarborough Southwest,Theresa Sara, 416-698-0069
Topcliff Community Child Care,65 Topcliff Ave   (Jane / Finch)     , Humber River-Black Creek,Natalia Frias, 416-630-8960
Top Mandarin Day Care Centre,3143 Sheppard Ave E   (Sheppard Ave. E/ Victoria Park)     , Scarborough-Agincourt,Jing Zhao, 647-352-0743
Top Mandarin Daycare Centre-2,"4271 Sheppard Ave E ,21     ", Scarborough North,Jing Zhao, 416-849-6498
Torah Tots Childcare,37 Southbourne Ave   (Wilson Ave And Bathurst St)     , York Centre,Chaya Plotkin, 647-389-1296
Torah Tots Preschool,3995 Bathurst St     , York Centre,Chaya Plotkin,
Torah Tots South,44 Edinburgh Dr   (Bathurst/Wilson)     , York Centre,Chaya Plotkin, 416-633-7659
Toronto Cheder,410 Lawrence Ave W     , Eglinton-Lawrence,Shira Melody Gilboord, 416-636-2987 ext 254
Toronto Hebrew Congregation/Holy Blossom Temple Preschool,1950 Bathurst St   (Bathurst / Eglinton)     , Toronto-St. Paul's,Wendy Steinberg Himmel, 416-789-3291
Toronto Woods Daycare,3072 Bayview Ave   (Finch & Bayview)     , Willowdale,Jin Ok Kim, 416-222-7333
Tot World Child Care Centre,25 Yorkwoods Gate   (Jane / Finch)     , Humber River-Black Creek,Brenda Sam, 416-638-3003
Trace Manes School (8603758 Canada Inc),822 Millwood Rd     , Don Valley West,Sue Park, 416-917-8030
Treasured Moments - Bloor,"3107 Bloor St W ,Ste. 104   (Bloor W. / Royal York)     ", Etobicoke-Lakeshore,Lauren Cuttler, 416-234-0303
Treasured Moments - Burnhamthorpe,316 Burnhamthorpe Rd     , Etobicoke Centre,Victoria Nouri, 416-646-7776
Treetop Children's Centre,80 Braemar Ave   (Eglinton / Avenue Road)     , Toronto-St. Paul's,Amy O'Neil, 416-484-8702
Trimbee Early Learning & Child Care Centre,30 Denarda St   (Weston / Eglinton W.)     , York South-Weston,Telccs Trimbee Supervisor, 416-392-3705
Trinity Bellwoods Community Children's Group/Care (Crawford Street),155 Crawford St   (Queen / Shaw)     , Spadina-Fort York,Julia C., 416-537-9021
Trust Child Care Inc.,29 Birch Ave   (Yonge St/Summerhill)     , Toronto-St. Paul's,Amelia Lewis, 416-594-0100 ext 226
Tumpane Child Care Learning Centre,48 Tumpane St   (Jane / Wilson)     , York Centre,Sandra Ditta, 416-244-2465
Two Short Storeys,"430 Broadview Ave ,100   (Broadview / Victor Ave)     ", Toronto-Danforth,Jamie Campbell, 416-902-1300
Ukrainian Co-Op Nursery School,516 The Kingsway     , Etobicoke Centre,Aleksandra Demkowicz, 416-763-2922
Unicorn Day Care Centre,240 Avenue Rd     , University-Rosedale,Eric Mackey, 416-929-6841
Unicorn Day Care Centre Toronto,454 Avenue Rd   (Avenue Rd. / St. Clair)     , Toronto-St. Paul's,Eric Mackey, 416-929-6841
University City Jr YMCA,453 Sentinel Rd   (Finch / Sentinel)     , Humber River-Black Creek,Paula Defend, 416-661-2329
University Of Toronto Childcare On Charles,35 Charles St W   (Yonge / Charles)     , Toronto Centre,Eftychia Ntanou, 416-415-2604
University Of Toronto Early Learning Centre - Glen Morris,7 Glen Morris St   (Spadina / Bloor)     , University-Rosedale,Karen Venneri, 416-978-6725
University Of Toronto Early Learning Centre - O.I.S.E.,252 Bloor St W   (Bloor / Bedford)     , University-Rosedale,Karen Venneri, 416-978-6725
University Settlement Day Care Centre,23 Grange Rd   (Dundas / University)     , Spadina-Fort York,Ida Bertolini, 416-598-3444 ext 246
Upper Yonge Village Day Care Centre,14 St Clements Ave   (Yonge / Eglinton)     , Eglinton-Lawrence,Daniela Durisova, 416-487-2861
Uptown Yonge Preschool And Child Development Centre,1 Lord Seaton Rd   (York Mills / Yonge)     , Don Valley West,Tia Butler, 647-439-0316
Van Horne Day Care,"201 Van Horne Ave ,1st Floor   (Don Mills / Van Horne)     ", Don Valley North,Tabassum Sukhera, 416-493-3353
Vedic Roots Montessori Academy (Scarborough),"42 Tuxedo Crt ,Unit #1     ", Scarborough-Guildwood,Sonam Agarwal, 416-916-7005
"Victoria Education Centre, Montessori & Child Care",1038 Woodbine Ave   (Danforth Ave. / Woodbine)     , Beaches-East York,Siobhan Gibson, 416-422-5550
Victoria Park Child Care Centre,15 Wallingford Rd   (Victoria Pk. / Ellesmere)     , Don Valley East,Nicole Latham, 416-445-0287
Village Green Child Care Centre,275 Village Green Sq   (Kennedy Rd / Sheppard Ave. E.)     , Scarborough-Agincourt,Jackie Pappas, 416-901-5180
Vincent Massey Academy - (521909 Ontario Ltd.),68 Daisy Ave   (Lake Shore Blvd W /29th Street)     , Etobicoke-Lakeshore,Katie Cataford, 416-252-3304 ext 225
Vincent Massey Childcare Center (521909 Ontario Ltd.),432 Horner Ave   (Browns Line & Horner)     , Etobicoke-Lakeshore,Phalyna Suong, 416-252-3305 ext 226
Viva Kids Academy,3420 Yonge St   (Yonge St & York Mills Road)     , Eglinton-Lawrence,Cathy Piedra-McKenzie, 416-483-7070
Vradenburg Community Child Care Centre,50 Vradenberg Dr     , Scarborough-Agincourt,Maya Magan, 416-497-7016
Waldorf Academy Childcare Centre,263 Spadina Rd     , Toronto-St. Paul's,Lucia Amaral, 416-962-6447 ext 248
Waldorf Academy Childcare Centre-Madison,250 Madison Ave     , Toronto-St. Paul's,Lucia Amaral, 416-962-6447 ext 248
Waterclub Jr YMCA,208 Queens Quay W   (York / Queen's Quay)     , Spadina-Fort York,Monica Warner, 416-915-7344
Waterfront Montessori Childrens Centre,18 Wyandot Ave   (Ward's Ferry / Algonquin Isl.)     , Spadina-Fort York,Kathleen Roerick, 416-203-1017
Waverley Road Montessori School,646 Kingston Rd     , Beaches-East York,Maricela Pliego, 647-351-1600
Wedgewood School Age YMCA,5 Swan Ave   (Burnhamthorpe / Kipling Ave.)     , Etobicoke Centre,Irene Grobelny, 647-281-4410
Wee Leprechauns Child Care Centre Ltd,235 The Donway E   (Lawrence / Don Mills)     , Don Valley East,Georgina Wallace, 416-385-1726
Wellesley Early Learning Centre - Earlscourt Creche CDI,"495 Sherbourne St ,2nd Floor   (Wellesley / Sherbourne)     ", Toronto Centre,Jennifer Ageday, 416-928-9900
Wellesworth School Age YMCA,225 Wellesworth Dr   (Wellesworth / Renforth)     , Etobicoke Centre,Irene Grobelny, 647-281-4410
West End Jr YMCA,931 College St   (College / Dovercourt)     , Davenport,Stella Alaimo, 416-536-1166 ext 440
West End Parents Day Care Centre,375 Dovercourt Rd   (Dovercourt / College)     , Davenport,Denise Grieve, 416-534-6761
West End Parents Day Care Satellite,380 Ossington Ave   (College St. / Ossington Ave.)     , Davenport,Denise Grieve, 416-534-6761
West Hill Centre For Early Learning (Centres For Early Learning Inc.),4010 Lawrence Ave E   (Lawrence / Kingston Rd.)     , Scarborough-Guildwood,Erin Argal, 416-283-4294 ext 221
"Westmount Junior School, Extended Day Program",95 Chapman Rd     , Etobicoke Centre,437-339-4015 or email, nicole.bharatt@tdsb.on.ca
Weston Memorial B & A School Program,200 John St   (Jane / Lawrence W.)     , York South-Weston,Sindy Torres, 416-658-9244
Westown Early Learning And Child Care Centre,3101 Weston Rd   (Weston Rd./Sheppard)     , Humber River-Black Creek,Helen Kwak, 416-392-2440
West Prep Children's Centre Of Toronto,70 Ridge Hill Dr   (Bathurst / Eglinton)     , Eglinton-Lawrence,Rose Bozza, 416-783-4302
